艾莉诺好极了（英美畅销榜榜单图书，感动40国读者，全球88个版本）,¥26.90,未读 出品 [英]盖尔·霍尼曼（Gai,北京联合出版有限公司
教父家族(国际畅销榜),¥13.64,"〔美国〕马里奥·普佐,〔美国〕埃德·法尔科 著,陈四百 译",译林出版社
游戏人间,¥20.00,贾平凹/著,百花洲文艺出版社
艾莉诺好极了（英美畅销榜榜单图书，感动40国读者，全球88个版本）,¥26.90,未读 出品 [英]盖尔·霍尼曼（Gai,北京联合出版有限公司
小鼠波波系列（全7册）,¥188.00,（英）露西.卡曾斯，启鸣 译,中国民族文化出版社有限公司
我变成一只喷火龙了+爱哭公主+生气王子（情绪管理绘本全3册）——公号：天赋一饼强烈推荐,¥137.40,文/图：赖马,河北教育出版社
乌合之众（北京大学法语系主任董强，译自法国原版《乌合之众》！连续3年稳居当当社会心理学畅销榜！作家榜出品）,¥49.30,[法] 古斯塔夫·勒庞 著，作家榜经典 出品，董强 译，大星文化,浙江文艺出版社
陪孩子读古诗词（精装，4册套装，含配乐朗诵）,¥246.20,叶媛媛 等,中国少年儿童出版社
作家榜经典：智慧书（讲透残酷社会的生存法则，马云公开谈论的智慧奇书！帮助您提升自我，一往无前！全新未删节插图珍藏版）,¥39.80,[西] 巴尔塔萨尔·格拉西安 著，作家榜经典 出品，张广森 译，大星文化,中信出版社
倾听力签名版（怎么听对方才肯说，如何说对方才会听？18个打开心扉的经典案例！帮你突破人际交往能力！）,¥43.50,吴怀尧 著，王芳樊登 推荐,浙江文艺出版社
蝲蛄吟唱的地方,¥56.80,"[美]迪莉娅·欧文斯 （Delia Owens） 著,博集天卷 出品",湖南文艺出版社
了不起的盖茨比（全新未删节插图精装版！译自美国原版《了不起的盖茨比》！译者获美国艾奥瓦大学荣誉作家称号！作家出品！）,¥45.00,[美] 菲茨杰拉德 著，作家榜经典 出品，董继平 译，大星文化，Henry P. Raleigh,浙江文艺出版社
小牛顿科学馆第一辑全10册儿童绘本3,¥34.80,希尔维·柏西,长江出版社
德鲁克,¥59.40,[美]彼得·德鲁克（Peter F. Drucker）,机械工业出版社
当下的力量（珍藏版）,¥42.00,(德)埃克哈特.托利,中信出版社
皮特猫·3~6岁好性格养成书：第七辑（共6册）（爱探索、责任心、勇敢、坚持……荣获19项大奖的好性格榜样，在美国家喻户晓,¥139.90,[美]詹姆斯·迪安 著；读客文化 出品,文汇出版社
世界上最糟糕的孩子和大人（礼盒装10册）,¥192.50,[英]大卫·威廉姆斯 著[英]托尼·罗斯绘,接力出版社
存在主义咖啡馆——自由、存在和杏子鸡尾酒,¥82.30,（英）莎拉·贝克韦尔（Sarah Bakewell）,北京联合出版有限公司
养育男孩（全2册）[精选套装],¥96.70,史蒂夫·比达尔夫，丹·金德伦，迈克尔·汤普森,中信出版社
让妈妈生气的10个方法,¥32.00,(法)西尔维·德·玛丘斯 著，(法)塞巴斯蒂安·迪奥洛让 绘，韩晓 译，孔倩 审,北京科学技术出版社
陪孩子走过高中三年（全新增订版）（新版）（2019版）,¥45.00,刘称莲,北京联合出版公司
爱自己，和谁结婚都一样,¥24.90,(德)爱娃-玛丽亚·楚尔霍斯特 著，许洁 译，中资海派 出品,重庆出版社
自然科学启蒙第3辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥90.00,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,北京联合出版公司
幼儿启智认知洞洞书(全3册),¥96.00,文 / [日] Ｌa ＺＯＯ 图 / [日] 荒川静惠 译 / 付玉佩,青岛出版社
陪孩子读古诗文珍藏礼盒装（精装全8册，含“古诗词、诗经、小古文”三大系列；让孩子从小学好古诗文，,¥528.40,叶媛媛 绘,中国少年儿童出版社
【官方直发】像火箭科学家一样思考,¥54.20,奥赞·瓦罗尔,北京联合出版公司
【可开票】身体由我,¥56.00,希拉,北京科学技术出版社
廊桥遗梦（打动万千读者的浪漫之作，曾蝉联《纽约时报》畅销榜榜首，资中筠女士经典译本）【正版书】,¥49.38,罗伯特·詹姆斯·沃勒,江苏译林出版社
身体由我,¥57.75,希拉,北京科学技术出版社
身体由我,¥59.00,希拉,北京科学技术出版社
【可开票】廊桥遗梦（打动万千读者的浪漫之作，曾蝉联《纽约时报》畅销榜榜首，资中筠女士经典译本）【名州好书】,¥48.00,罗伯特·詹姆斯·沃勒,江苏译林出版社
朗读者（凿破我们心中冰封海洋的一把斧子；登上《纽约时报》畅销榜的非英语小说；凯特·温丝莱特主演同名电影荣膺奥斯卡）尚居苑,¥40.18,本哈德·施林克,江苏译林出版社
朗读者（凿破我们心中冰封海洋的一把斧子；登上《纽约时报》畅销榜的非英语小说；凯特·温丝莱特主演同名电影荣膺奥斯卡）【正版,¥40.18,本哈德·施林克,江苏译林出版社
【旗舰店直营】饥饿：一部身体的回忆录,¥46.00,罗克珊?盖伊,南海出版公司
街头日记,¥30.00,艾琳·格鲁维尔,南海出版公司
别放弃,¥51.00,无,安徽少年儿童出版社
身体由我,¥62.10,希拉,北京科学技术出版社
身体由我,¥59.00,希拉,北京科学技术出版社
正版音乐,¥62.28,张学友,广东音像出版社
